Event DM1_gen DM1_reco DM2_gen DM2_reco Higgs_Charge_gen Higgs_D0_gen Higgs_DZ_gen Higgs_E_gen Higgs_Eta_gen Higgs_IsPU_gen Higgs_Mass_gen Higgs_PID_gen Higgs_PT_gen Higgs_Phi_gen MET_Phi_gen MET_Phi_reco MET_PT_gen MET_PT_reco METcov_xx_reco METcov_xy_reco METcov_yy_reco channel_gen channel_reco jet1_Eta_gen jet1_Eta_reco jet1_Mass_gen jet1_Mass_reco jet1_PT_gen jet1_PT_reco jet1_Phi_gen jet1_Phi_reco jet2_Eta_gen jet2_Eta_reco jet2_Mass_gen jet2_Mass_reco jet2_PT_gen jet2_PT_reco jet2_Phi_gen jet2_Phi_reco tau1_Charge_gen tau1_Charge_reco tau1_D0_gen tau1_DZ_gen tau1_E_gen tau1_Eta_gen tau1_Eta_reco tau1_IsPU_gen tau1_Mass_gen tau1_Mass_reco tau1_PID_gen tau1_PT_gen tau1_PT_reco tau1_Phi_gen tau1_Phi_reco tau2_Charge_gen tau2_Charge_reco tau2_D0_gen tau2_DZ_gen tau2_E_gen tau2_Eta_gen tau2_Eta_reco tau2_IsPU_gen tau2_Mass_gen tau2_Mass_reco tau2_PID_gen tau2_PT_gen tau2_PT_reco tau2_Phi_gen tau2_Phi_reco
11 None None 1prong1pi0 3prong1pi0 0 0.0 0.0 295.254058838 -1.36429440975 0 125.0 25 128.337203979 -2.74712181091 -2.51948595047 -2.50083255768 62.7563247681 76.1059036255 0.0828213888673 -0.00817927765065 0.103682258353 mt mt 0.968834519386 0.968834519386 3.06981635094 3.06981635094 68.48412323 68.48412323 0.52299207449 0.52299207449 None -0.205566912889 None 5.65976715088 None 68.0638275146 None 0.245668172836 1 1 0.0 0.0 166.491897583 -0.813319265842 -0.814506411552 0 1.77681994438 None -15 123.376716614 58.8820228577 -2.44388985634 -2.43284916878 -1 -1 0.0 0.0 128.762145996 -1.88177847862 -1.88679647446 0 1.77681994438 3.23317360878 15 38.332736969 44.6225509644 2.24515604973 2.22469329834
12 None None 1prong2pi0 1prong3pi0 0 0.0 0.0 921.425354004 1.68282091618 0 125.0 25 327.996795654 0.461885780096 0.458749473095 0.514051198959 135.248260498 129.4737854 0.163840722362 -0.181053007586 0.429581013792 mt mt 2.33600831032 2.33600831032 21.3907203674 21.3907203674 328.599822998 328.599822998 -2.66754937172 -2.66754937172 None None None None None None None None -1 -1 0.0 0.0 421.483184814 1.33876645565 1.33595788479 0 1.77681994438 None 15 206.784759521 131.699127197 0.531604170799 0.529233694077 1 1 0.0 0.0 499.942169189 2.0836250782 2.0991396904 0 1.77681994438 3.95380282402 -15 122.563850403 75.4361343384 0.344082683325 0.357837200165
13 3prong0pi0 3prong0pi0 3prong0pi0 1prong1pi0 0 0.0 0.0 519.491088867 -2.14833426476 0 125.0 25 116.084632874 0.573687136173 0.847959399223 0.688139975071 63.4362792969 49.645160675 0.0969286410991 -0.00847227122912 0.0925123316086 tt tt -0.600930631161 -0.600930631161 5.49348497391 5.49348497391 37.6925010681 37.6925010681 -3.00392770767 -3.00392770767 -2.86751270294 -1.64115035534 6.51800680161 7.43859624863 24.5736064911 35.8145713806 -2.86114645004 -2.61230492592 -1 -1 0.0 0.0 386.464691162 -1.77674305439 -1.77917253971 0 1.77681994438 1.0489307642 15 127.1301651 73.716178894 0.920999348164 0.926271617413 1 1 0.0 0.0 133.026367188 -1.785176754 -1.75571000576 0 1.77681994438 1.72535026073 -15 43.4092025757 45.3532562256 -1.07677817345 -1.09762883186
14 None None 1prong2pi0 1prong2pi0 0 0.0 0.0 172.274078369 -0.665960252285 0 125.0 25 96.3741378784 -1.84492945671 -2.60518026352 2.77434301376 17.785697937 19.6071586609 0.0969368942425 -0.0194388319884 0.103921878394 mt mt -0.995632469654 -0.995632469654 11.3213710785 11.3213710785 102.335838318 102.335838318 0.828779697418 0.828779697418 3.06876897812 3.06876897812 10.400683403 10.400683403 53.5832366943 53.5832366943 2.94441652298 2.94441652298 1 1 0.0 0.0 123.11920929 -1.06279313564 -1.06270253658 0 1.77681994438 None -15 75.9931488037 69.6444091797 -1.43326401711 -1.43673098087 -1 -1 0.0 0.0 49.1548728943 0.642106294632 0.648924052715 0 1.77681994438 4.66149282455 15 40.4858512878 39.4832382202 -2.69460701942 -2.65521550179
15 None None 1prong1pi0 1prong1pi0 0 0.0 0.0 150.690826416 0.553644835949 0 125.0 25 72.7253189087 -0.312235206366 2.69743227959 2.91982769966 34.2585601807 53.0854377747 0.0717156308585 0.0012163783752 0.0700058064212 mt mt None None None None None None None None None None None None None None None None 1 1 0.0 0.0 77.5201797485 0.900022685528 0.899360716343 0 1.77681994438 None -15 54.0780792236 29.8847446442 0.862313330173 0.875492870808 -1 -1 0.0 0.0 73.1706390381 -0.181901529431 -0.172326669097 0 1.77681994438 0.830560147762 15 71.9553451538 36.9916114807 -1.07831728458 -1.0917109251
16 None None None None 0 0.0 0.0 548.240356445 1.32882523537 0 125.0 25 264.166442871 -2.76822566986 -2.86556172371 -2.92766475677 153.946304321 152.11479187 0.192114469415 -0.0681315682466 0.170162028149 em em -2.00106406212 -2.00106406212 14.8386907578 14.8386907578 206.374740601 206.374740601 0.914962947369 0.914962947369 1.94696176052 1.94696176052 10.8339357376 10.8339357376 92.3807296753 92.3807296753 -0.229475140572 -0.229475140572 -1 -1 0.0 0.0 384.994598389 1.4524769783 1.4447644949 0 1.77681994438 None 15 170.815475464 52.7325630188 -3.05986976624 -3.04912018776 1 1 0.0 0.0 163.245773315 0.924389183521 0.917049348354 0 1.77681994438 None -15 111.916618347 66.2355422974 -2.31391215324 -2.32062649727
17 None None 1prong1pi0 1prong1pi0 0 0.0 0.0 375.048248291 -2.04864645004 0 125.0 25 89.6756286621 2.20543336868 1.32878661156 1.22959983349 40.4758415222 40.2319564819 0.0777870834042 0.00192588452707 0.0698148225707 mt et None None None None None None None None None None None None None None None None 1 1 0.0 0.0 241.733642578 -2.5594394207 -0.195956170559 0 1.77681994438 None -15 37.1718711853 73.8613204956 -2.85959362984 -1.43124163151 -1 -1 0.0 0.0 133.314605713 -1.03053295612 -1.06283533573 0 1.77681994438 1.5096462965 15 84.3855056763 53.2775421143 1.77925467491 1.79583334923
18 1prong0pi0 1prong0pi0 1prong1pi0 1prong2pi0 0 0.0 0.0 287.973052979 -1.66685974598 0 125.0 25 94.6070404053 1.49094283581 1.09759092331 -1.00863790512 14.7685966492 17.9465179443 0.135823381991 -0.0158339166159 0.112298487157 tt tt -2.46168684959 -2.46168684959 10.9347486496 10.9347486496 101.411552429 101.411552429 -2.04889321327 -2.04889321327 3.83051633835 3.83051633835 8.10229206085 8.10229206085 78.9774703979 78.9774703979 0.562589228153 0.562589228153 -1 -1 0.0 0.0 101.995056152 -0.734570980072 -0.727417767048 0 1.77681994438 1.34869912927e-06 15 79.5379867554 87.4681930542 2.10695695877 2.10279393196 1 1 0.0 0.0 185.977996826 -1.89427185059 -1.87283170223 0 1.77681994438 2.78355169296 -15 54.7119255066 43.8298835754 0.493728250265 0.509346425533
19 None None 1prong1pi0 3prong1pi0 0 0.0 0.0 318.157226562 -0.609791517258 0 125.0 25 245.497512817 -0.574129879475 -0.488136082888 -0.38344797492 59.8021354675 67.7835845947 0.182269988648 0.174598567851 0.509027264525 et et -1.94610023499 -1.94610023499 23.9170532227 23.9170532227 332.246459961 332.246459961 2.75169754028 2.75169754028 1.35451066494 1.35451066494 13.9901380539 13.9901380539 71.010848999 71.010848999 0.442002356052 0.442002356052 -1 -1 0.0 0.0 201.674194336 -1.00441873074 -1.00362217426 0 1.77681994438 None 15 130.251144409 73.5328979492 -0.484545260668 -0.49095338583 1 1 0.0 0.0 116.483047485 -0.0446173399687 -0.0454136952758 0 1.77681994438 10.7812585831 -15 116.353660583 121.998214722 -0.674448728561 -0.694041728973
20 3prong0pi0 3prong1pi0 3prong1pi0 5prong2pi0 0 0.0 0.0 438.17376709 1.73837924004 0 125.0 25 143.237167358 0.7464864254 0.931335985661 0.936819493771 37.2388114929 45.4189033508 0.119702663808 -0.0148562846574 0.133831100564 tt tt 2.58179593086 2.58179593086 12.6760597229 12.6760597229 99.8792037964 99.8792037964 -3.00502586365 -3.00502586365 -0.711589932442 -1.43374967575 5.94360303879 8.25530529022 47.3978157043 61.9188079834 -1.59081184864 -1.67025971413 1 1 0.0 0.0 182.488616943 1.1135623455 1.142146945 0 1.77681994438 7.4468588829 -15 108.181976318 81.7871704102 1.16884624958 1.16231155396 -1 -1 0.0 0.0 255.685150146 2.08057928085 2.08940148354 0 1.77681994438 4.56001091003 15 62.8669929504 63.8433456421 -0.0364770740271 -0.0310987830162
